State,NOAA_FIP,drop1,NOAA_Zone,drop2,County,FIP,drop3,drop4,Latitude,Longitude
CA,083,MFR,North Central and Southeast Siskiyou County,CA083,Siskiyou,06093,P,nn,41.5425,-121.8967
CA,084,MFR,Northeast Siskiyou and Northwest Modoc Counties,CA084,Modoc,06049,P,nn,41.8639,-121.6371
CA,084,MFR,Northeast Siskiyou and Northwest Modoc Counties,CA084,Siskiyou,06093,P,nn,41.8639,-121.6371
CA,085,MFR,Modoc County,CA085,Modoc,06049,P,nn,41.5611,-120.7585
CA,087,LOX,Catalina Island,CA087,Los Angeles,06037,P,sw,33.3820,-118.4331
CA,088,LOX,Santa Clarita Valley,CA088,Los Angeles,06037,P,sw,34.4534,-118.5579
CA,101,EKA,Coastal Del Norte,CA101,Del Norte,06015,P,nw,41.0243,-124.0956
CA,102,EKA,Del Norte Interior,CA102,Del Norte,06015,P,nw,41.0243,-124.0956
CA,103,EKA,Northern Humboldt Coast,CA103,Humboldt,06023,P,nw,41.0243,-124.0956
CA,104,EKA,Southwestern Humboldt,CA104,Humboldt,06023,P,nw,41.0243,-124.0956
CA,105,EKA,Northern Humboldt Interior,CA105,Humboldt,06023,P,nw,41.0243,-124.0956
CA,106,EKA,Southern Humboldt Interior,CA106,Humboldt,06023,P,nw,41.0243,-124.0956
CA,107,EKA,Northern Trinity,CA107,Trinity,06105,P,nw,40.7088,-123.1110
CA,108,EKA,Southern Trinity,CA108,Trinity,06105,P,nw,40.7088,-123.1110
CA,109,EKA,Mendocino Coast,CA109,Mendocino,06045,P,nw,39.3778,-123.7271
CA,110,EKA,Northwestern Mendocino Interior,CA110,Mendocino,06045,P,nw,39.6359,-123.4371
CA,111,EKA,Northeastern Mendocino Interior,CA111,Mendocino,06045,P,nw,39.7603,-123.1396
CA,112,EKA,Southwestern Mendocino Interior,CA112,Mendocino,06045,P,nw,39.1561,-123.4915
CA,113,EKA,Southeastern Mendocino Interior,CA113,Mendocino,06045,P,nw,39.0904,-123.1953
CA,114,EKA,Northern Lake County,CA114,Lake,06033,P,cc,39.3619,-122.8628
CA,115,EKA,Southern Lake County,CA115,Lake,06033,P,cc,38.9779,-122.7022
CA,179,HNX,West Side Hills ,CA179,Kern,06029,P,cc,36.1223,-120.3373
CA,179,HNX,West Side Hills ,CA179,Kings,06031,P,cc,36.1223,-120.3373
CA,179,HNX,West Side Hills ,CA179,Fresno,06019,P,cc,36.1223,-120.3373
CA,179,HNX,West Side Hills ,CA179,Merced,06047,P,cc,36.1223,-120.3373
CA,180,HNX,San Joaquin Confluence ,CA180,Madera,06039,P,cc,37.0252,-120.6493
CA,180,HNX,San Joaquin Confluence ,CA180,Merced,06047,P,cc,37.0252,-120.6493
CA,181,HNX,Merced and Madera ,CA181,Madera,06039,P,cc,37.2220,-120.2341
CA,181,HNX,Merced and Madera ,CA181,Merced,06047,P,cc,37.2220,-120.2341
CA,182,HNX,Western San Joaquin Valley ,CA182,Kings,06031,P,cc,36.3334,-120.1552
CA,182,HNX,Western San Joaquin Valley ,CA182,Fresno,06019,P,cc,36.3334,-120.1552
CA,183,HNX,Foggy Bottom ,CA183,Kings,06031,P,cc,36.3980,-119.7833
CA,183,HNX,Foggy Bottom ,CA183,Fresno,06019,P,cc,36.3980,-119.7833
CA,183,HNX,Foggy Bottom ,CA183,Tulare,06107,P,cc,36.3980,-119.7833
CA,184,HNX,Fresno ,CA184,Fresno,06019,P,cc,36.7600,-119.6055
CA,185,HNX,Tulare County ,CA185,Tulare,06107,P,cc,36.1982,-119.1825
CA,186,HNX,Southern Kings County ,CA186,Kings,06031,P,cc,35.9039,-119.5737
CA,187,HNX,Western San Joaquin Valley in Kern County,CA187,Kern,06029,P,cc,35.5741,-119.5325
CA,188,HNX,Eastern San Joaquin Valley in Kern County,CA188,Kern,06029,P,cc,35.6266,-119.1173
CA,189,HNX,Bakersfield ,CA189,Kern,06029,P,cc,35.2183,-119.0645
CA,190,HNX,Central Sierra Foothills ,CA190,Mariposa,06043,P,cc,37.2843,-119.7374
CA,190,HNX,Central Sierra Foothills ,CA190,Madera,06039,P,cc,37.2843,-119.7374
CA,190,HNX,Central Sierra Foothills ,CA190,Fresno,06019,P,cc,37.2843,-119.7374
CA,191,HNX,Southern Sierra Foothills ,CA191,Tulare,06107,P,cc,36.0994,-118.8844
CA,191,HNX,Southern Sierra Foothills ,CA191,Kings,06031,P,cc,36.0994,-118.8844
CA,192,HNX,Central Sierra ,CA192,Mariposa,06043,P,cc,37.6184,-119.3678
CA,192,HNX,Central Sierra ,CA192,Madera,06039,P,cc,37.6184,-119.3678
CA,192,HNX,Central Sierra ,CA192,Fresno,06019,P,cc,37.6184,-119.3678
CA,193,HNX,North Kings River ,CA193,Madera,06039,P,cc,37.0579,-118.9401
CA,193,HNX,North Kings River ,CA193,Fresno,06019,P,cc,37.0579,-118.9401
CA,194,HNX,Sequoia Kings ,CA194,Fresno,06019,P,cc,36.4233,-118.5603
CA,194,HNX,Sequoia Kings ,CA194,Tulare,06107,P,cc,36.4233,-118.5603
CA,194,HNX,Sequoia Kings ,CA194,Kern,06029,P,cc,36.4233,-118.5603
CA,195,HNX,Lake Isabella ,CA195,Tulare,06107,P,cc,35.7380,-118.3411
CA,195,HNX,Lake Isabella ,CA195,Kern,06029,P,cc,35.7380,-118.3411
CA,196,HNX,Tehachapi Area ,CA196,Kern,06029,P,cc,35.3190,-118.4019
CA,197,HNX,Fort Tejon ,CA197,Kern,06029,P,cc,34.9451,-119.0187
CA,198,HNX,Indian Wells Valley ,CA198,Kern,06029,P,cc,35.6271,-117.8015
CA,199,HNX,Kern County Desert ,CA199,Kern,06029,P,cc,35.0767,-118.0156
CA,505,MTR,Coastal North Bay Including Point Reyes National Seashore,CA505,Marin,06041,P,ww,38.2364,-122.9543
CA,505,MTR,Coastal North Bay Including Point Reyes National Seashore,CA505,Sonoma,06097,P,ww,38.2364,-122.9543
CA,506,MTR,North Bay Interior Valleys,CA506,Marin,06041,P,ww,38.3698,-122.6419
CA,506,MTR,North Bay Interior Valleys,CA506,Napa,06055,P,ww,38.3698,-122.6419
CA,506,MTR,North Bay Interior Valleys,CA506,Sonoma,06097,P,ww,38.3698,-122.6419
CA,507,MTR,North Bay Mountains,CA507,Marin,06041,P,ww,38.5515,-122.6939
CA,507,MTR,North Bay Mountains,CA507,Napa,06055,P,ww,38.5515,-122.6939
CA,507,MTR,North Bay Mountains,CA507,Sonoma,06097,P,ww,38.5515,-122.6939
CA,508,MTR,San Francisco Bay Shoreline,CA508,Alameda,06001,P,ww,37.5938,-122.1650
CA,508,MTR,San Francisco Bay Shoreline,CA508,Contra Costa,06013,P,ww,37.5938,-122.1650
CA,508,MTR,San Francisco Bay Shoreline,CA508,San Mateo,06081,P,ww,37.5938,-122.1650
CA,508,MTR,San Francisco Bay Shoreline,CA508,Santa Clara,06085,P,ww,37.5938,-122.1650
CA,509,MTR,San Fransisco Peninsula Coast,CA509,San Mateo,06081,P,ww,37.3740,-122.3923
CA,509,MTR,San Fransisco Peninsula Coast,CA509,Santa Cruz,06087,P,ww,37.3740,-122.3923
CA,510,MTR,East Bay Interior Valleys,CA510,Alameda,06001,P,ww,37.8803,-121.8801
CA,510,MTR,East Bay Interior Valleys,CA510,Contra Costa,06013,P,ww,37.8803,-121.8801
CA,511,MTR,East Bay Hills and the Diablo Range,CA511,Alameda,06001,P,ww,37.4504,-121.6591
CA,511,MTR,East Bay Hills and the Diablo Range,CA511,Contra Costa,06013,P,ww,37.4504,-121.6591
CA,511,MTR,East Bay Hills and the Diablo Range,CA511,Santa Clara,06085,P,ww,37.4504,-121.6591
CA,512,MTR,Santa Cruz Mountains,CA512,San Mateo,06081,P,ww,37.1726,-122.0400
CA,512,MTR,Santa Cruz Mountains,CA512,Santa Clara,06085,P,ww,37.1726,-122.0400
CA,512,MTR,Santa Cruz Mountains,CA512,Santa Cruz,06087,P,ww,37.1726,-122.0400
CA,513,MTR,Santa Clara Valley Including San Jose,CA513,Santa Clara,06085,P,ww,37.2196,-121.7971
CA,516,MTR,Southern Salinas Valley/Arroyo Seco and Lake San Antonio,CA516,Monterey,06053,P,ww,36.1014,-121.0546
CA,517,MTR,Santa Lucia Mountains and Los Padres National Forest,CA517,Monterey,06053,P,ww,36.1606,-121.4188
CA,518,MTR,Mountains Of San Benito County And Interior Monterey County Including Pinnacles National Monument,CA518,Monterey,06053,P,ww,36.3718,-120.9214
CA,518,MTR,Mountains Of San Benito County And Interior Monterey County Including Pinnacles National Monument,CA518,San Benito,06069,P,ww,36.3718,-120.9214
CA,519,VEF,Eastern Sierra Slopes of Inyo County,CA519,Inyo,06027,P,ee,36.8269,-118.3410
CA,520,VEF,Owens Valley,CA520,Inyo,06027,P,ee,36.5133,-118.0127
CA,521,VEF,White Mountains of Inyo County,CA521,Inyo,06027,P,ee,37.0104,-118.0388
CA,522,VEF,Death Valley National Park,CA522,Inyo,06027,P,ee,36.4199,-117.1006
CA,523,VEF,Western Mojave Desert,CA523,San Bernardino,06071,P,ss,35.3053,-117.0005
CA,524,VEF,Eastern Mojave Desert Including the Mojave National Preserve,CA524,San Bernardino,06071,P,,35.1398,-115.7069
CA,525,VEF,Morongo Basin,CA525,San Bernardino,06071,P,ss,34.3424,-116.0947
CA,526,VEF,Cadiz Basin,CA526,San Bernardino,06071,P,ss,34.3849,-115.0956
CA,527,VEF,San Bernadino County-Upper Colorado River Valley,CA527,San Bernardino,06071,P,ss,34.4988,-114.5011
CA,528,MTR,Northern Salinas Valley/Hollister Valley and Carmel Valley,CA528,Monterey,06053,P,ww,36.6769,-121.5047
CA,528,MTR,Northern Salinas Valley/Hollister Valley and Carmel Valley,CA528,San Benito,06069,P,ww,36.6769,-121.5047
CA,529,MTR,Northern Monterey Bay,CA529,Santa Cruz,06087,P,ww,36.9757,-121.9005
CA,530,MTR,Southern Monterey Bay and Big Sur Coast,CA530,Monterey,06053,P,ww,36.6165,-121.7566
CA,547,LOX,Los Angeles County San Fernando Valley,CA547,Los Angeles,06037,P,sw,34.2043,-118.4799
CA,548,LOX,Los Angeles County San Gabriel Valley,CA548,Los Angeles,06037,P,sw,34.0657,-117.9738
CA,549,LOX,San Miguel and Santa Rosa Islands,CA549,Santa Barbara,06083,P,sw,33.9774,-120.1462
CA,550,LOX,Santa Cruz and Anacapa Islands,CA550,Santa Barbara,06083,P,sw,34.0138,-119.7416
CA,552,SGX,Orange County Coastal,CA552,Orange,06059,P,sw,33.7028,-117.7899
CA,554,SGX,Orange County Inland,CA554,Orange,06059,P,sw,0.0000,0.0000
CA,560,PSR,Joshua Tree NP West,CA560,San Bernardino,06071,P,ss,33.9359,-116.0847
CA,561,PSR,Joshua Tree NP East,CA561,San Bernardino,06071,P,ss,33.9564,-115.6533
CA,562,PSR,Imperial County Southwest,CA562,Imperial,06025,P,se,32.8129,-116.0390
CA,563,PSR,Salton Sea,CA563,Imperial,06025,P,se,33.3091,-115.8096
CA,563,PSR,Salton Sea,CA563,Riverside,06065,P,se,33.3091,-115.8096
CA,564,PSR,Chuckwalla Mountains,CA564,Imperial,06025,P,se,33.3715,-115.2724
CA,564,PSR,Chuckwalla Mountains,CA564,Riverside,06065,P,se,33.3715,-115.2724
CA,565,PSR,Imperial County Southeast,CA565,Imperial,06025,P,se,32.8860,-114.9902
CA,566,PSR,Imperial County West,CA566,Imperial,06025,P,se,32.9908,-115.9008
CA,567,PSR,Imperial Valley,CA567,Imperial,06025,P,se,32.9245,-115.5185
CA,568,PSR,Chiriaco Summit,CA568,Riverside,06065,P,ss,33.6785,-115.6832
CA,569,PSR,Palo Verde Valley,CA569,Imperial,06025,P,se,33.4256,-114.6527
CA,569,PSR,Palo Verde Valley,CA569,Riverside,06065,P,se,33.4256,-114.6527
CA,570,PSR,Chuckwalla Valley,CA570,Riverside,06065,P,se,33.8125,-115.0182
